30,0,4.0
909,0,3.0
1387,0,3.0
3267,0,2.0
3368,0,4.0
32558,0,2.0
34843,0,3.0
1119,1,4.0
4767,1,5.0
5669,1,3.0
22088,1,4.0
56630,1,4.0
663,2,4.0
1044,2,4.0
2675,2,4.0
8066,2,5.0
8773,2,2.5
28015,2,4.0
34657,2,3.0
40294,2,4.0
47818,2,4.0
62268,2,3.0
1594,3,4.0
4464,3,4.0
5315,3,3.0
5445,3,4.0
6368,3,3.0
8337,3,3.0
9492,3,3.0
19014,3,4.5
21663,3,4.0
30430,3,4.0
30558,3,4.0
5308,4,3.0
66266,4,4.0
72847,4,3.0
1352,5,3.0
3501,5,5.0
5647,5,4.0
7769,5,4.0
9307,5,3.0
10861,5,5.0
12434,5,5.0
19604,5,3.0
91,6,5.0
426,6,5.0
1966,6,5.0
3864,6,4.0
11639,6,3.0
21783,6,3.0
36502,6,5.0
571,7,3.0
1696,7,4.0
1960,7,4.0
2147,7,4.0
2089,8,4.0
23796,8,5.0
368,9,3.0
626,9,4.0
823,9,5.0
1605,9,4.0
7344,9,4.0
11380,9,3.0
13535,9,4.0
23723,10,4.0
25572,10,3.0
42777,10,3.0
681,11,3.0
743,11,4.0
1468,11,5.0
1736,11,4.0
2531,11,4.0
3627,11,5.0
29743,11,5.0
695,12,4.0
3054,12,2.0
15455,12,3.0
21694,12,3.0
522,13,4.0
2651,13,3.0
5720,13,5.0
1019,14,1.0
2188,14,4.0
4734,14,3.0
6095,14,2.6666666666666665
6105,14,3.0
36369,14,4.0
79921,14,3.0
4260,15,3.0
24487,15,3.0
63901,15,2.0
5618,16,4.0
11638,16,3.0
21733,16,4.0
53664,16,4.0
61938,16,3.0
4900,17,4.0
6169,17,3.0
6353,17,5.0
10131,17,5.0
10272,17,4.0
14559,17,3.0
25297,17,4.0
507,18,5.0
2175,18,4.0
4090,18,3.0
9995,18,5.0
41061,18,5.0
39,19,4.0
904,19,5.0
30689,19,5.0
1389,20,4.0
11528,20,3.0
50138,21,3.0
30294,22,5.0
1390,23,4.5
2474,23,4.0
22611,23,3.0
4367,24,2.0
4998,24,5.0
0,25,4.0
4705,26,3.0
670,27,5.0
685,27,4.0
1747,27,4.0
6944,27,2.0
9803,28,4.0
4234,29,4.0
10388,29,1.0
2042,30,4.0
5521,30,4.0
12271,31,3.5
19483,31,4.0
870,32,4.0
2062,32,4.0
2806,32,4.0
17759,32,4.0
25134,32,4.0
26106,32,5.0
